ID X PCODE,Label,ID,PCODE
0021EE1 X K6QO,1.0,0021EE1,K6QO
0021EE1 X QBOL,1.0,0021EE1,QBOL
0021EE1 X RVSZ,0.999648094177246,0021EE1,RVSZ
0021EE1 X GHYX,0.00010130996088264509,0021EE1,GHYX
0021EE1 X 7POT,7.38059970899485e-05,0021EE1,7POT
0029J1L X RVSZ,1.0,0029J1L,RVSZ
0029J1L X PYUQ,1.0,0029J1L,PYUQ
0029J1L X N2MW,1.0,0029J1L,N2MW
0029J1L X QBOL,1.0,0029J1L,QBOL
0029J1L X K6QO,0.8100292086601257,0029J1L,K6QO
004QK71 X AHXO,1.0,004QK71,AHXO
004QK71 X N2MW,0.9936745166778564,004QK71,N2MW
004QK71 X RVSZ,0.0032680178992450237,004QK71,RVSZ
004QK71 X QBOL,0.0011865914566442368,004QK71,QBOL
004QK71 X GHYX,0.0006221066578291358,004QK71,GHYX
005AP9V X RVSZ,1.0,005AP9V,RVSZ
005AP9V X K6QO,0.9969525337219238,005AP9V,K6QO
005AP9V X QBOL,0.0016842002514749765,005AP9V,QBOL
005AP9V X P5DA,0.00036676652962341915,005AP9V,P5DA
005AP9V X GHYX,0.00033007681486196816,005AP9V,GHYX
0096G27 X RVSZ,1.0,0096G27,RVSZ
0096G27 X K6QO,0.9526174068450928,0096G27,K6QO
0096G27 X GHYX,0.021765530109405518,0096G27,GHYX
0096G27 X QBOL,0.020959116518497467,0096G27,QBOL
0096G27 X PYUQ,0.001192767987959087,0096G27,PYUQ
00CROHB X RVSZ,1.0,00CROHB,RVSZ
00CROHB X K6QO,1.0,00CROHB,K6QO
00CROHB X QBOL,0.9195275306701659,00CROHB,QBOL
00CROHB X PYUQ,0.02396368235349655,00CROHB,PYUQ
00CROHB X ECY3,0.021001389250159264,00CROHB,ECY3
00GN7IR X RVSZ,1.0,00GN7IR,RVSZ
00GN7IR X K6QO,0.96642804145813,00GN7IR,K6QO
00GN7IR X QBOL,0.024373061954975128,00GN7IR,QBOL
00GN7IR X GHYX,0.003296916373074055,00GN7IR,GHYX
00GN7IR X 7POT,0.0021545884665101767,00GN7IR,7POT
00NCS4S X K6QO,1.0,00NCS4S,K6QO
00NCS4S X RVSZ,0.9997580647468568,00NCS4S,RVSZ
00NCS4S X N2MW,0.00013036068412475288,00NCS4S,N2MW
00NCS4S X PYUQ,3.810849375440739e-05,00NCS4S,PYUQ
00NCS4S X GHYX,2.2465728761744685e-05,00NCS4S,GHYX
00WUNVP X RVSZ,1.0,00WUNVP,RVSZ
00WUNVP X K6QO,0.9903191328048706,00WUNVP,K6QO
00WUNVP X GHYX,0.00494188629090786,00WUNVP,GHYX
00WUNVP X QBOL,0.0022671534679830074,00WUNVP,QBOL
00WUNVP X PYUQ,0.0013456462183967233,00WUNVP,PYUQ
017WQM0 X K6QO,1.0,017WQM0,K6QO
017WQM0 X RVSZ,0.9997910857200624,017WQM0,RVSZ
017WQM0 X RIBP,8.356657781405373e-05,017WQM0,RIBP
017WQM0 X GHYX,4.497596091823653e-05,017WQM0,GHYX
017WQM0 X QBOL,1.9375031115487215e-05,017WQM0,QBOL
01K1T70 X RVSZ,1.0,01K1T70,RVSZ
01K1T70 X K6QO,0.6989842057228088,01K1T70,K6QO
01K1T70 X QBOL,0.16834180057048798,01K1T70,QBOL
01K1T70 X GHYX,0.10366122424602507,01K1T70,GHYX
01K1T70 X PYUQ,0.010075224563479424,01K1T70,PYUQ
01LCV3H X RVSZ,1.0,01LCV3H,RVSZ
01LCV3H X K6QO,0.9869044423103333,01LCV3H,K6QO
01LCV3H X QBOL,0.010730855166912079,01LCV3H,QBOL
01LCV3H X GHYX,0.0009254196775145828,01LCV3H,GHYX
01LCV3H X 7POT,0.00037307004095055163,01LCV3H,7POT
01SKUSO X RVSZ,1.0,01SKUSO,RVSZ
01SKUSO X K6QO,0.9658262729644777,01SKUSO,K6QO
01SKUSO X QBOL,0.02972028590738773,01SKUSO,QBOL
01SKUSO X GHYX,0.0017535173101350665,01SKUSO,GHYX
01SKUSO X PYUQ,0.0006949132075533272,01SKUSO,PYUQ
01TWVJJ X K6QO,1.0,01TWVJJ,K6QO
01TWVJJ X RVSZ,0.9991188645362854,01TWVJJ,RVSZ
01TWVJJ X GHYX,0.0007958952919580043,01TWVJJ,GHYX
01TWVJJ X QBOL,3.823767474386841e-05,01TWVJJ,QBOL
01TWVJJ X PYUQ,2.30362311413046e-05,01TWVJJ,PYUQ
01YZDNK X K6QO,1.0,01YZDNK,K6QO
01YZDNK X RVSZ,0.9997289776802064,01YZDNK,RVSZ
01YZDNK X GHYX,7.819120946805924e-05,01YZDNK,GHYX
01YZDNK X QBOL,4.23594938183669e-05,01YZDNK,QBOL
01YZDNK X 7POT,3.58563193003647e-05,01YZDNK,7POT
020T20S X K6QO,1.0,020T20S,K6QO
020T20S X RVSZ,0.999414324760437,020T20S,RVSZ
020T20S X GHYX,0.00045977919944562023,020T20S,GHYX
020T20S X QBOL,4.878412073594518e-05,020T20S,QBOL
020T20S X PYUQ,4.581459143082611e-05,020T20S,PYUQ
0297W7A X K6QO,1.0,0297W7A,K6QO
0297W7A X RVSZ,0.9998905658721924,0297W7A,RVSZ
0297W7A X GHYX,5.410903395386413e-05,0297W7A,GHYX
0297W7A X QBOL,1.1564630767679773e-05,0297W7A,QBOL
0297W7A X PYUQ,1.0207318155153187e-05,0297W7A,PYUQ
02E1P76 X K6QO,1.0,02E1P76,K6QO
02E1P76 X RVSZ,0.9997523427009584,02E1P76,RVSZ
02E1P76 X GHYX,0.00010597349319141357,02E1P76,GHYX
02E1P76 X N2MW,3.763528729905375e-05,02E1P76,N2MW
02E1P76 X QBOL,3.5219094570493326e-05,02E1P76,QBOL
