,0,1,2,3,4
F86J5PC,"('K6QO', 0.9878787398338318)","('QBOL', 0.0069380053319036)","('GHYX', 0.0024009251501411)","('ECY3', 0.0011482604313641)","('PYUQ', 0.0007689271587878)"
H6141K3,"('QBOL', 0.5317817330360413)","('GHYX', 0.352139413356781)","('ECY3', 0.067446269094944)","('JWFN', 0.0307458266615867)","('N2MW', 0.0023467750288546)"
RBAYUXZ,"('QBOL', 0.7801417112350464)","('ECY3', 0.1476640999317169)","('GHYX', 0.0145060196518898)","('JWFN', 0.0105740958824753)","('8NN1', 0.0095054442062973)"
KCBILBQ,"('K6QO', 0.9951157569885254)","('QBOL', 0.0023404720705002)","('GHYX', 0.0016175498021766)","('ECY3', 0.0003702744143083)","('RIBP', 0.0001267246843781)"
LSEC1ZJ,"('J9JW', 0.9988887906074524)","('RVSZ', 0.0003918738802894)","('QBOL', 0.0003282415273133)","('PYUQ', 0.0001716461847536)","('GHYX', 0.0001419244072167)"
EK65KRH,"('RIBP', 0.450465053319931)","('RVSZ', 0.4109320342540741)","('SOP4', 0.0664952769875526)","('66FJ', 0.029317632317543)","('PYUQ', 0.013312654569745)"
M3N7TLU,"('QBOL', 0.860461950302124)","('K6QO', 0.0835523083806037)","('PYUQ', 0.0219527352601289)","('SOP4', 0.0084268637001514)","('RIBP', 0.0051112072542309)"
QAC6HOX,"('SOP4', 0.9815386533737184)","('K6QO', 0.0105849029496312)","('RIBP', 0.0029500445816665)","('66FJ', 0.0022106785327196)","('ECY3', 0.0005927473539486)"
T8B9JK0,"('K6QO', 0.9364455342292786)","('QBOL', 0.043005634099245)","('PYUQ', 0.0066028698347508)","('N2MW', 0.0034041358157992)","('RIBP', 0.0022479405160993)"
62M79HM,"('RVSZ', 0.9997795224189758)","('GHYX', 0.0001707020855974)","('SOP4', 9.361693628306966e-06)","('QBOL', 5.67503047932405e-06)","('N2MW', 5.435190360003617e-06)"
VIFSSA7,"('RVSZ', 0.9998639822006226)","('GHYX', 8.162597077898681e-05)","('QBOL', 2.2188567527337e-05)","('N2MW', 7.517416634073015e-06)","('PYUQ', 5.047364084020956e-06)"
I8ONWLM,"('K6QO', 0.9939822554588318)","('QBOL', 0.0026308423839509)","('N2MW', 0.0008159308927133)","('ECY3', 0.0007292154477909)","('GHYX', 0.000657383876387)"
B0FID1U,"('RVSZ', 0.8862864375114441)","('ECY3', 0.0893284305930137)","('QBOL', 0.0132519099861383)","('SOP4', 0.0030929360073059)","('GHYX', 0.0023018298670649)"
ZHVYJ0A,"('K6QO', 0.8851355314254761)","('ECY3', 0.0387479551136493)","('GHYX', 0.0167831722646951)","('N2MW', 0.0120080644264817)","('AHXO', 0.0075273220427334)"
1IWADO4,"('RVSZ', 0.7819572687149048)","('SOP4', 0.1237596347928047)","('QBOL', 0.0375046953558921)","('PYUQ', 0.0136071117594838)","('RIBP', 0.0116495732218027)"
2PAL7JV,"('RVSZ', 0.56181800365448)","('ECY3', 0.1818243414163589)","('QBOL', 0.0695315971970558)","('RIBP', 0.0688700526952743)","('PYUQ', 0.0340407080948352)"
29RYY4N,"('K6QO', 0.998626708984375)","('QBOL', 0.0008237232104875)","('GHYX', 0.0001374682615278)","('ECY3', 8.998947305371985e-05)","('7POT', 7.258036930579692e-05)"
X9NBDB4,"('K6QO', 0.9891397356987)","('PYUQ', 0.0038907050620764)","('GHYX', 0.0038437582552433)","('ECY3', 0.0011117722606286)","('RIBP', 0.0004376857250463)"
UITK6GR,"('RVSZ', 0.999691605567932)","('GHYX', 0.0001063794625224)","('PYUQ', 7.800498133292422e-05)","('QBOL', 5.3921903599984944e-05)","('ECY3', 1.4532591194438282e-05)"
JONQI5H,"('N2MW', 0.9882071614265442)","('GHYX', 0.0044621042907238)","('RVSZ', 0.0030637148302048)","('QBOL', 0.0010602141264826)","('ECY3', 0.0007943916716612)"
ZV7EC7L,"('K6QO', 0.9922853708267212)","('GHYX', 0.0052621206268668)","('ECY3', 0.0009414657251909)","('QBOL', 0.0005970334168523)","('N2MW', 0.0003470612282399)"
BWT1QRH,"('RVSZ', 0.9995573163032532)","('GHYX', 0.0001975499035324)","('N2MW', 6.880024739075452e-05)","('RIBP', 6.166433013277128e-05)","('PYUQ', 5.794147728011012e-05)"
C285E9K,"('QBOL', 0.3344101011753082)","('PYUQ', 0.2748900055885315)","('RVSZ', 0.1815260350704193)","('GHYX', 0.1344329267740249)","('BSTQ', 0.0453660562634468)"
BZH5P4P,"('RVSZ', 0.9997969269752502)","('GHYX', 6.570216646650806e-05)","('N2MW', 4.394893767312169e-05)","('PYUQ', 3.063975236727856e-05)","('AHXO', 1.375647207169095e-05)"
2OQOFQT,"('RVSZ', 0.9997919201850892)","('GHYX', 8.913031342672184e-05)","('QBOL', 6.997846503509209e-05)","('PYUQ', 1.055311531672487e-05)","('P5DA', 8.345175956492312e-06)"
I58UV5Q,"('K6QO', 0.676607072353363)","('QBOL', 0.2953891456127167)","('PYUQ', 0.0102789932861924)","('ECY3', 0.0050508053973317)","('N2MW', 0.0038123806007206)"
XGUUGI1,"('K6QO', 0.945635199546814)","('ECY3', 0.0415830463171005)","('PYUQ', 0.0075010894797742)","('SOP4', 0.0006948980735614)","('JZ9D', 0.0005127826589159)"
EMVH2HP,"('RVSZ', 0.8785489201545715)","('SOP4', 0.0408674143254756)","('ECY3', 0.0257294494658708)","('QBOL', 0.023259088397026)","('PYUQ', 0.0100424131378531)"
W019HSR,"('K6QO', 0.9455141425132751)","('QBOL', 0.0278662256896495)","('ECY3', 0.0117738647386431)","('PYUQ', 0.0052234176546335)","('GHYX', 0.0030526923947036)"
7J868QB,"('RVSZ', 0.999805986881256)","('GHYX', 8.840378723107278e-05)","('N2MW', 5.793461241410114e-05)","('JWFN', 8.218528819270432e-06)","('7POT', 6.882455181767e-06)"
DSYNYH6,"('K6QO', 0.9760905504226683)","('GHYX', 0.0124029787257313)","('QBOL', 0.0094301383942365)","('ECY3', 0.0004981228266842)","('PYUQ', 0.0004413588903844)"
GB16H1Y,"('RVSZ', 0.9998338222503662)","('GHYX', 0.0001011425556498)","('QBOL', 2.567241790529806e-05)","('SOP4', 7.711242687946651e-06)","('PYUQ', 5.885490281798411e-06)"
Z2B00YJ,"('K6QO', 0.8329769968986511)","('8NN1', 0.0411406755447387)","('66FJ', 0.0253311805427074)","('SOP4', 0.0250716563314199)","('7POT', 0.0216872077435255)"
HLVUKNT,"('RVSZ', 0.9994298815727234)","('QBOL', 0.0002588385832495)","('GHYX', 0.0002230794052593)","('PYUQ', 2.8422015020623803e-05)","('N2MW', 1.767904541338794e-05)"
F5SDCA2,"('RVSZ', 0.999823033809662)","('QBOL', 0.0001147156654042)","('GHYX', 2.432140536257066e-05)","('N2MW', 1.061609964381205e-05)","('PYUQ', 4.5059250624035485e-06)"
E71I179,"('K6QO', 0.99482661485672)","('QBOL', 0.0026129388716071)","('GHYX', 0.0015316987410187)","('ECY3', 0.000275083060842)","('PYUQ', 0.0002588097704574)"
FRXT1NR,"('RVSZ', 0.9997056126594543)","('PYUQ', 0.0002103376173181)","('GHYX', 3.533121707732789e-05)","('QBOL', 1.143819736171281e-05)","('N2MW', 7.98470682639163e-06)"
C1ESAII,"('RVSZ', 0.999595582485199)","('PYUQ', 0.0002661719045136)","('GHYX', 3.6295456084189937e-05)","('N2MW', 3.275071139796637e-05)","('QBOL', 1.3676818525709676e-05)"
SREJ35I,"('JZ9D', 0.9985528588294984)","('QBOL', 0.0009097672882489)","('GHYX', 0.0002984074817504)","('RVSZ', 0.0001215067604789)","('PYUQ', 4.627304952009581e-05)"
